Concept	PROP_W	TOTAL_GEN_FREQ
[men/male/women/female] emcee	0.8281481481481482	675
[men/male/women/female] auditor	0.6658986175115207	1302
[men/male/women/female] emissary	0.6747720364741642	329
[men/male/women/female] author	0.7134571918233527	80522
[men/male/women/female] referee	0.774294670846395	638
[men/male/women/female] employee	0.7433283799263181	129204
[men/male/women/female] music teacher	0.7142857142857143	308
[men/male/women/female] vendor	0.7955902618282039	4354
[men/male/women/female] musician	0.7690638810767376	24890
[men/male/women/female] emt	0.7401960784313726	1632
[men/male/women/female] veterinarian	0.8547418967587035	833
[men/male/women/female] registrar	0.7894736842105263	285
[men/male/women/female] aviator	0.9310214851111949	2653
[men/male/women/female] vicar	0.8320158102766798	506
[men/male/women/female] engineer	0.8303229981761487	16997
[men/male/women/female] bailiff	0.8067796610169492	295
[men/male/women/female] baker	0.6085106382978723	705
[men/male/women/female] naturalist	0.8191489361702128	846
[men/male/women/female] entertainer	0.8854663774403471	6915
[men/male/women/female] violinist	0.7902912621359224	1030
[men/male/women/female] bank manager	0.7663934426229508	244
[men/male/women/female] bank teller	0.8566308243727598	279
[men/male/women/female] entrepreneur	0.9469467256264477	94980
[men/male/women/female] banker	0.6780715396578538	1286
[men/male/women/female] enumerator	0.7670250896057348	279
[men/male/women/female] reporter	0.7810815903523648	26535
[men/male/women/female] representative	0.7401036269430051	19300
[men/male/women/female] equestrian	0.901010101010101	495
[men/male/women/female] vocalist	0.7132257224681072	15364
[men/male/women/female] barrister	0.8323907455012853	1945
[men/male/women/female] bartender	0.7435990557472308	5507
[men/male/women/female] news anchor	0.8047138047138047	1188
[men/male/women/female] news reporter	0.8133333333333334	525
[men/male/women/female] newscaster	0.7462052216150576	1647
[men/male/women/female] bather	0.7738296672306825	1773
[men/male/women/female] evangelist	0.9101158784841842	3193
[men/male/women/female] beautician	0.6712328767123288	146
[men/male/women/female] examiner	0.6004540295119183	881
[men/male/women/female] research assistant	0.715	1200
[men/male/women/female] research scientist	0.6794871794871795	156
[men/male/women/female] researcher	0.730275436909677	17681
[men/male/women/female] walker	0.6084905660377359	1060
[men/male/women/female] executive	0.7754010695187166	29359
[men/male/women/female] executive director	0.9120654396728016	489
[men/male/women/female] novelist	0.888976837193801	24004
[men/male/women/female] novice	0.6353711790393013	1374
[men/male/women/female] exerciser	0.7333333333333333	480
[men/male/women/female] warden	0.8235664776307499	1587
[men/male/women/female] retailer	0.9033613445378151	476
[men/male/women/female] bicyclist	0.8503401360544217	735
[men/male/women/female] weaver	0.7088136853849014	5378
[men/male/women/female] occupational therapist	0.6037735849056604	106
[men/male/women/female] rider	0.7486703772418059	8085
[men/male/women/female] biologist	0.6744505494505495	728
[men/male/women/female] welder	0.817	1000
[men/male/women/female] faculty	0.8118702806912855	43571
[men/male/women/female] bishop	0.8779134295227525	6307
[men/male/women/female] robber	0.7082035306334372	963
[men/male/women/female] rocker	0.7655954631379962	1058
[men/male/women/female] blacksmith	0.7824427480916031	262
[men/male/women/female] farm manager	0.6636085626911316	654
[men/male/women/female] blogger	0.8389897395422258	3801
[men/male/women/female] farm worker	0.653250773993808	1615
[men/male/women/female] farmer	0.7941771757745602	32115
[men/male/women/female] roller	0.7561576354679803	406
[men/male/women/female] farmworkers	0.79976717112922	859
[men/male/women/female] rower	0.6705118961788031	1387
[men/male/women/female] feeder	0.6965174129353234	201
[men/male/women/female] ruler	0.7533972172594878	18471
[men/male/women/female] worker	0.774040944622414	315597
[men/male/women/female] runner	0.7350382741823243	11496
[men/male/women/female] bodybuilder	0.7094497031926841	6233
[men/male/women/female] bodyguard	0.8647477561126586	3231
[men/male/women/female] bookkeeper	0.6557971014492754	276
[men/male/women/female] boomer	0.6111111111111112	234
[men/male/women/female] sailor	0.6768086544962812	2958
[men/male/women/female] wrestler	0.7786032689450223	4038
[men/male/women/female] writer	0.8924282491897345	298359
[men/male/women/female] bos	0.6180313588850174	9184
[men/male/women/female] botanist	0.8491803278688524	610
[men/male/women/female] bouncer	0.6381679389312978	655
[men/male/women/female] fighter pilot	0.9026258205689278	914
[men/male/women/female] bowler	0.815028901734104	519
[men/male/women/female] boxer	0.7804744525547446	5480
[men/male/women/female] finisher	0.7126436781609196	522
[men/male/women/female] fire fighter	0.7619047619047619	315
[men/male/women/female] firefighter	0.744251149770046	5001
[men/male/women/female] broadcaster	0.8888101983002833	1412
[men/male/women/female] broker	0.7318501170960188	854
[men/male/women/female] school principal	0.8483920367534457	653
[men/male/women/female] flight attendant	0.6170118343195267	6760
[men/male/women/female] school teacher	0.8172905525846702	1122
[men/male/women/female] science teacher	0.6925795053003534	566
[men/male/women/female] scientist	0.8314913092166123	41078
[men/male/women/female] builder	0.7816091954022989	783
[men/male/women/female] screener	0.6423611111111112	288
[men/male/women/female] scribe	0.6899736147757256	2274
[men/male/women/female] flyer	0.9077669902912622	824
[men/male/women/female] sculptor	0.8722677595628415	2928
[men/male/women/female] follower	0.7680148768014877	12906
[men/male/women/female] bus driver	0.7018030513176144	721
[men/male/women/female] searcher	0.9605150214592275	1165
[men/male/women/female] football coach	0.6330275229357798	109
[men/male/women/female] business manager	0.7191780821917808	146
[men/male/women/female] business leader	0.8724619289340102	1576
[men/male/women/female] butler	0.6080246913580247	324
[men/male/women/female] secondary teacher	0.7076923076923077	260
[men/male/women/female] secretary	0.6506315297052861	12826
[men/male/women/female] security officer	0.7822384428223844	822
[men/male/women/female] seller	0.7693965517241379	928
[men/male/women/female] senator	0.8160580630528464	8818
[men/male/women/female] cadet	0.7122124440327312	6477
[men/male/women/female] servant	0.6886645681826404	110556
[men/male/women/female] server	0.6569751933849026	3749
[men/male/women/female] camera operator	0.648854961832061	131
