ROLE NOUN	TOTAL	2000	2001	2002	2003	2004	2005	2006	2007	2008
admiral	9787	125	137	104	166	223	164	200	237	412
admiral	8844	112	130	170	160	226	161	203	232	447
admiral	7528	175	225	329	239	284	302	319	216	213
admiral	64	1	0	3	3	0	0	1	3	2
admiral	34448	453	911	547	568	541	526	662	684	1012
admiral	3954	43	63	72	66	147	74	100	120	166
admiral	371	6	5	8	3	11	3	9	7	9
admiral	14653	200	293	346	216	427	301	419	352	522
admiral	444	3	11	11	8	24	15	16	17	26
admiral	1010	11	6	7	8	16	9	14	18	39
admiral	443	4	6	2	1	16	6	10	10	9
admiral	59	0	0	4	2	2	0	0	0	1
admiral	10	0	0	0	0	0	1	0	0	0
admiral	52	0	0	1	1	1	1	1	8	5
admiral	509	8	6	7	10	12	7	6	10	15
admiral	1246	19	9	42	27	43	17	30	34	53
admiral	27056	430	553	507	595	616	662	573	781	733
admiral	1250	37	25	22	26	40	25	34	45	44
admiral	1410	26	23	16	28	35	18	36	45	50
admiral	44	2	1	0	0	1	1	2	1	0
admiral	4104	61	76	66	115	124	96	119	163	183
admiral	3598	95	70	98	85	86	127	96	95	138
admiral	512	14	11	15	7	14	9	15	19	12
admiral	6332	93	105	102	109	145	143	149	167	258
admiral	31	0	0	0	0	2	0	1	2	2
financial adviser	133	3	5	1	8	6	3	5	2	1
financial adviser	214	1	5	5	5	1	3	3	3	0
financial adviser	630	23	26	30	35	61	25	42	24	38
financial adviser	58	1	0	0	6	0	3	6	3	3
financial adviser	229	2	3	2	7	2	3	4	8	3
financial adviser	40	0	1	5	4	0	0	2	0	3
financial adviser	849	17	25	13	16	14	19	18	23	15
financial adviser	17	0	1	0	0	0	0	0	0	0
financial adviser	10	0	0	0	0	0	0	0	1	1
financial adviser	66	2	3	3	3	1	6	3	2	3
financial adviser	57	2	3	3	5	0	3	1	3	3
financial adviser	1868	96	74	83	130	118	108	121	115	83
financial adviser	15	2	0	0	0	0	0	1	1	2
financial adviser	385	12	20	15	24	17	29	27	19	16
financial adviser	839	24	28	52	54	74	80	95	54	64
financial adviser	134	5	7	5	9	6	13	9	4	11
financial adviser	1317	65	56	71	74	95	82	96	72	73
tax advisor	11	0	0	4	2	2	2	0	0	0
tax advisor	605	19	36	47	33	86	78	33	50	41
tax advisor	18	0	4	1	1	3	0	3	0	1
tax advisor	47	0	0	3	0	1	3	5	5	6
tax advisor	22	0	3	3	4	0	0	0	0	0
tax advisor	367	6	13	22	23	33	34	36	29	32
tax advisor	32	0	1	0	1	3	0	5	3	6
tax advisor	158	2	5	1	7	5	6	29	18	17
tax advisor	19	0	1	0	1	0	0	3	0	1
tax advisor	262	5	9	13	13	13	10	18	24	24
estate agent	26	1	0	0	0	0	0	0	0	0
estate agent	162	11	2	8	7	7	7	2	6	8
estate agent	44	0	1	0	0	2	1	0	1	0
estate agent	18	1	0	0	2	1	0	0	0	1
estate agent	16	0	0	1	1	0	0	0	0	0
estate agent	37	0	4	1	1	0	1	3	0	0
estate agent	174	2	1	4	7	4	3	8	1	15
estate agent	34	0	3	0	1	1	2	3	0	0
estate agent	713	10	21	15	22	19	14	21	21	30
estate agent	204	5	8	8	7	16	13	12	8	10
estate agent	34	1	3	0	1	2	2	3	1	2
estate agent	74	0	3	4	8	7	7	3	7	2
estate agent	239	2	4	5	6	8	19	19	18	11
estate agent	10	0	0	0	0	0	0	1	1	0
estate agent	16	2	0	1	1	0	3	1	1	0
travel agent	75	1	0	1	3	4	11	5	0	0
travel agent	173	8	7	13	7	5	2	1	6	4
travel agent	32	4	1	2	4	1	2	5	6	1
travel agent	2320	88	141	97	106	175	104	109	93	69
travel agent	214	10	4	17	10	27	12	18	2	3
travel agent	139	3	6	9	7	4	16	7	5	3
travel agent	316	6	25	16	19	17	16	8	10	6
travel agent	353	13	12	21	19	19	25	19	6	12
estate agent	27	0	0	0	3	2	4	0	0	1
estate agent	29	1	0	0	0	1	3	1	0	4
estate agent	619	9	20	9	21	16	22	31	18	31
estate agent	22	0	0	1	1	0	0	0	0	1
estate agent	107	5	3	4	4	4	5	3	6	1
estate agent	437	12	21	19	24	25	24	25	14	7
estate agent	22	3	1	0	0	0	0	0	0	1
estate agent	524	9	12	11	22	24	27	18	33	24
estate agent	245	7	6	6	6	7	11	6	7	8
estate agent	106	4	5	6	4	3	3	11	9	5
estate agent	2976	95	78	107	117	142	129	100	116	90
estate agent	167	4	6	4	11	11	10	10	1	4
estate agent	428	19	18	25	42	38	29	28	16	33
estate agent	11	0	0	0	1	0	0	2	4	1
estate agent	1005	58	56	25	61	110	77	54	40	61
estate agent	78	2	2	2	4	5	5	3	3	8
estate agent	2813	127	89	109	157	206	172	123	111	119
estate agent	20	1	0	1	0	6	1	1	0	0
estate agent	21	0	0	4	0	0	2	1	0	2
estate agent	17	3	1	0	1	1	4	1	0	0
estate agent	776	28	12	26	43	138	56	36	43	39
estate agent	96	1	8	8	2	12	6	0	9	4
estate agent	12	0	0	0	0	0	0	1	3	0
travel agent	106	8	5	2	0	8	9	2	1	2
travel agent	301	14	10	15	8	17	17	25	19	5
travel agent	196	18	5	9	11	19	14	13	10	5
travel agent	8582	366	484	492	480	529	571	462	406	265
travel agent	362	12	18	17	17	15	21	27	18	6
travel agent	1937	103	147	113	98	139	176	137	118	62
travel agent	204	4	14	6	12	9	15	7	8	1
travel agent	38	0	1	2	12	0	1	1	1	1
travel agent	6452	267	353	346	365	439	451	373	403	196
travel agent	528	27	32	41	38	37	38	36	29	10
travel agent	14	0	1	0	1	1	1	1	4	0
travel agent	10081	422	542	487	529	627	670	599	577	272
travel agent	15	0	1	0	1	1	0	1	0	0
travel agent	20	1	1	3	1	1	0	2	0	0
travel agent	12	0	0	0	0	0	0	0	0	0
travel agent	11	0	0	0	2	0	0	2	0	0
travel agent	87	3	5	4	7	3	6	6	3	5
travel agent	66	3	4	1	7	6	5	5	0	1
travel agent	35	1	1	3	3	3	2	2	2	0
alcoholic	31	0	0	1	0	2	1	5	0	0
alcoholic	142	0	0	0	1	2	0	0	3	0
alcoholic	89	2	1	3	0	1	2	3	6	0
alcoholic	22	0	0	2	0	0	0	2	4	1
alcoholic	99	0	3	1	1	1	0	2	0	2
alcoholic	812	18	15	25	33	25	28	34	14	19
alcoholic	20189	571	509	643	667	647	666	595	583	394
alcoholic	24743	641	671	736	885	1213	773	781	687	617
alcoholic	4004	120	146	112	158	133	236	113	104	94
alcoholic	15477	359	370	425	454	419	375	352	290	274
alcoholic	465	15	12	12	15	22	15	8	11	14
alcoholic	10629	337	372	474	448	502	276	296	315	436
alcoholic	44579	1361	1204	1287	1333	1556	1218	1249	906	1393
alcoholic	5616	130	75	120	112	133	118	115	76	68
alcoholic	142201	3073	3367	3977	3644	3556	3121	2712	2376	2024
alcoholic	197	3	10	7	8	3	7	3	3	4
financial analyst	15	0	0	0	2	3	2	0	0	0
financial analyst	132	2	4	3	3	6	3	4	2	11
financial analyst	603	29	32	29	26	38	31	35	27	32
financial analyst	35	1	4	2	5	0	1	0	6	0
financial analyst	55	1	2	2	4	2	3	3	3	4
financial analyst	70	1	4	7	5	3	5	1	2	4
financial analyst	153	3	2	4	11	7	10	5	7	12
system analyst	13	1	7	0	0	0	0	0	0	0
system analyst	30	0	2	0	2	0	0	0	0	0
system analyst	26	0	0	0	2	0	1	2	0	0
system analyst	177	3	4	3	4	6	0	8	0	5
system analyst	13	0	1	2	0	0	1	0	0	0
system analyst	1659	50	53	61	64	56	55	49	55	47
system analyst	155	11	1	4	7	5	6	19	6	3
system analyst	63	3	4	5	2	1	0	0	1	0
system analyst	183	6	4	9	4	3	7	5	6	9
system analyst	11	0	1	0	0	0	0	0	0	0
system analyst	475	12	4	8	15	4	12	12	19	7
financial analyst	22	3	2	0	1	2	1	1	7	0
financial analyst	70	3	7	4	5	1	7	2	8	2
financial analyst	54	4	2	0	0	7	2	4	7	3
financial analyst	4754	230	195	284	331	290	249	301	260	215
financial analyst	1767	70	29	84	95	51	86	66	84	65
financial analyst	382	18	20	15	32	23	24	23	28	21
financial analyst	24	2	0	2	2	3	1	5	1	0
financial analyst	99	1	1	3	6	2	7	2	4	1
financial analyst	4849	267	222	346	300	362	288	316	254	233
financial analyst	160	9	16	11	13	12	10	12	5	6
financial analyst	2974	125	113	185	188	168	196	230	230	154
financial analyst	10	1	0	0	0	0	0	0	0	1
financial analyst	62	2	4	0	3	2	5	2	3	4
financial analyst	42	0	4	0	8	1	3	2	5	2
financial analyst	45	0	3	1	5	7	0	0	5	4
financial analyst	572	18	18	16	45	40	25	13	31	17
system analyst	10	0	0	0	0	0	0	0	0	0
system analyst	14	0	0	2	0	3	0	1	0	0
system analyst	127	2	5	4	12	5	1	1	0	4
system analyst	19	6	0	1	1	0	0	1	0	2
system analyst	22	0	1	0	0	0	1	1	0	4
system analyst	81	1	0	2	4	1	1	4	1	0
system analyst	150	6	6	2	5	4	5	2	3	3
