ROLE NOUN	TOTAL	2000	2001	2002	2003	2004	2005	2006	2007	2008
data processor	106	7	1	1	3	1	0	2	3	1
data processor	12	0	1	0	0	0	0	0	0	0
data processor	12	0	0	0	0	0	0	2	0	0
data processor	16	0	0	0	0	0	0	0	0	0
data processor	11	0	1	0	6	0	0	0	0	0
data processor	16	0	0	0	4	0	0	1	0	0
data processor	53	0	0	1	2	4	3	1	2	1
data processor	51	2	1	3	4	0	2	1	3	1
data processor	1059	25	34	17	40	26	21	35	26	9
data processor	22	0	0	1	2	0	0	2	0	0
data processor	119	0	1	1	9	6	3	2	1	7
data processor	372	13	21	3	10	4	5	9	10	6
data processor	76	1	0	5	1	9	0	2	2	0
data processor	685	18	21	18	30	13	21	22	17	7
history professor	33	0	0	0	0	0	0	0	0	0
history professor	80	7	1	2	0	2	1	7	1	0
history professor	118	1	12	8	9	6	15	4	6	9
history professor	67	0	3	1	0	1	0	27	1	0
history professor	21	0	1	1	1	2	2	0	1	2
history professor	11	0	0	0	0	2	0	0	1	0
history professor	67	3	1	2	1	1	0	1	6	1
humanity professor	16	0	0	2	0	1	3	0	1	2
law professor	228	12	1	12	8	12	5	1	5	20
law professor	25	1	0	0	0	0	0	2	7	0
law professor	780	35	34	38	34	40	51	41	38	37
law professor	115	8	2	12	1	2	1	6	2	3
law professor	56	2	2	4	3	1	1	4	0	3
law professor	51	0	3	7	1	4	3	1	3	3
law professor	280	6	12	9	13	14	6	5	6	5
law professor	24	0	0	4	2	4	2	4	0	0
professor	272	6	7	7	7	1	12	5	9	5
professor	1475	25	33	12	27	22	33	26	41	37
professor	448	10	12	21	12	15	11	4	12	31
professor	353	10	9	14	7	17	19	14	16	17
professor	20044	474	323	411	455	510	683	481	545	737
professor	10437	143	176	177	209	214	302	263	307	447
professor	391	2	8	8	17	14	88	11	22	54
professor	42926	915	1179	1219	1440	1478	1470	1461	1498	1631
professor	25942	738	674	790	874	810	951	1149	1048	1110
professor	21920	583	519	690	791	762	916	809	836	1174
professor	88	3	1	5	1	3	5	5	5	7
professor	173748	6250	6553	7248	8452	8752	8396	9099	9258	7795
professor	4281	86	88	86	134	138	112	215	173	327
professor	274	11	4	11	10	20	9	12	5	10
professor	14	0	0	0	1	2	2	0	1	0
professor	28442	647	594	695	676	686	798	818	911	868
professor	41	1	1	4	3	0	1	1	3	8
professor	346	7	6	12	12	18	16	17	31	36
professor	2353	29	37	65	54	60	37	46	65	75
professor	42	0	0	2	0	0	1	0	0	0
professor	10	1	1	0	0	3	2	1	0	0
history professor	69	5	3	2	4	4	5	0	3	2
history professor	40	0	2	2	0	10	3	6	0	2
history professor	111	5	0	1	2	9	2	8	2	3
history professor	14	5	0	0	0	0	0	1	0	0
history professor	22	1	0	0	2	1	0	2	4	1
history professor	174	8	5	6	6	15	9	3	13	7
history professor	16	0	0	4	0	0	0	0	0	0
history professor	238	5	10	16	12	19	4	6	16	13
humanity professor	59	1	1	0	2	1	3	5	2	0
humanity professor	12	0	0	1	1	3	1	3	0	0
humanity professor	106	14	5	9	6	4	7	2	9	4
humanity professor	91	5	4	4	3	7	0	7	4	13
law professor	16	0	0	0	0	0	0	10	0	0
law professor	61	0	4	6	1	4	3	3	2	3
law professor	242	14	5	14	12	9	7	20	10	8
law professor	2838	108	125	109	150	146	135	156	131	110
law professor	68	1	1	8	2	3	1	5	1	5
law professor	238	1	6	21	15	14	11	14	14	11
law professor	1663	51	62	108	116	62	103	95	102	80
law professor	153	2	7	6	6	3	10	9	4	4
law professor	1826	92	65	88	99	89	82	79	93	78
professor	412	1	6	5	8	8	7	5	32	17
professor	27	0	0	0	0	0	2	1	1	0
professor	3503	68	77	81	107	97	72	100	94	110
professor	11661	264	265	345	345	329	316	285	406	330
professor	10	0	0	0	2	0	0	0	0	0
professor	25	2	0	1	0	0	0	1	2	10
professor	137500	2786	2990	3265	4246	4129	4170	4141	4472	4600
professor	12145	217	254	300	286	352	354	306	361	435
professor	21290	467	400	681	747	804	696	741	690	779
professor	837	30	23	29	31	31	36	43	37	24
professor	23777	567	623	706	743	831	800	795	791	707
professor	82219	2272	2128	3262	4279	3552	3826	3435	4185	3250
professor	12494	242	265	329	686	414	360	379	435	351
professor	15	0	0	0	0	0	0	0	0	0
professor	100043	1774	1999	2234	2948	2571	2799	2867	3107	3382
professor	11	0	0	0	0	0	0	0	0	0
professor	305	5	5	7	5	6	5	8	9	9
computer programmer	117	3	0	4	0	24	6	4	4	13
computer programmer	224	11	6	1	5	8	10	8	6	5
computer programmer	20	0	3	4	3	0	0	1	6	1
computer programmer	1365	46	43	54	66	69	82	65	66	41
computer programmer	197	7	4	3	6	9	12	4	5	9
computer programmer	82	5	0	4	8	0	6	2	1	4
computer programmer	97	5	5	4	2	1	6	10	6	1
computer programmer	325	12	13	9	15	11	15	16	7	5
computer programmer	13	0	0	2	0	0	1	0	0	0
computer programmer	58	0	2	0	1	4	2	3	11	1
computer programmer	178	8	11	4	3	6	5	8	7	8
computer programmer	512	29	17	23	17	24	27	13	18	19
computer programmer	5330	204	160	219	260	283	251	220	175	199
computer programmer	194	7	11	9	9	11	9	5	5	12
computer programmer	543	25	16	25	25	42	21	30	20	27
computer programmer	10	1	0	0	1	0	0	3	1	0
computer programmer	2924	171	136	182	172	128	125	153	130	107
computer programmer	184	3	10	1	9	14	10	2	9	9
computer programmer	4577	168	194	203	209	209	170	245	181	131
computer programmer	22	3	0	1	0	0	2	0	0	1
computer programmer	13	2	0	0	0	0	1	0	0	2
projectionist	15	0	0	0	1	0	0	2	0	2
projectionist	45	0	6	0	1	1	1	3	1	0
projectionist	38	1	0	0	1	1	0	0	1	2
projectionist	427	24	13	15	26	17	21	14	10	6
projectionist	124	5	2	4	4	10	6	4	0	2
projectionist	30	1	0	0	0	0	5	1	0	1
projectionist	503	17	16	19	20	31	35	40	24	11
projectionist	62	2	9	1	5	0	1	0	1	2
projectionist	225	9	9	9	6	12	10	6	11	6
projectionist	18	0	0	0	0	0	0	0	0	0
projectionist	13	1	2	0	3	0	1	2	0	0
projectionist	52	0	2	2	4	4	0	1	3	2
projectionist	475	13	21	19	15	20	12	10	20	8
projectionist	49	2	0	1	0	0	0	0	0	1
projectionist	153	3	8	7	11	3	4	12	8	2
projectionist	64	1	2	3	3	2	2	7	4	0
projectionist	485	19	39	14	43	16	18	17	19	7
projectionist	71	2	8	1	8	2	1	2	0	1
projectionist	556	8	27	12	30	20	24	21	16	8
proofreader	48	0	2	0	1	2	2	3	0	1
proofreader	17	0	0	0	2	0	0	0	1	4
proofreader	13	1	0	1	0	0	0	1	2	0
proofreader	322	10	11	9	16	19	17	14	11	25
proofreader	76	1	0	1	0	0	1	1	1	1
proofreader	3691	104	143	203	188	197	193	133	165	112
proofreader	560	15	22	22	36	33	23	36	30	18
proofreader	41	10	1	1	2	0	2	2	1	0
proofreader	1089	38	57	51	64	84	58	50	100	64
proofreader	178	5	5	3	0	12	2	1	4	5
proofreader	11	2	0	1	2	1	0	0	0	0
proofreader	810	22	10	22	17	23	21	21	35	16
proofreader	30	0	1	1	0	0	0	0	1	0
proofreader	99	1	4	4	4	1	5	2	4	0
proofreader	61	5	5	1	2	1	2	7	2	4
proofreader	3104	79	79	99	110	144	100	119	133	116
proofreader	102	4	2	4	4	4	2	5	5	4
proofreader	165	6	5	14	7	6	3	13	9	6
proofreader	206	4	10	2	16	18	9	9	7	11
proofreader	989	37	23	32	37	58	30	35	69	29
proofreader	105	1	2	2	5	3	3	3	5	2
proofreader	1050	25	26	32	22	52	21	36	41	25
prostitute	728	3	124	0	0	5	0	10	2	7
prostitute	35	0	1	2	1	0	1	4	2	2
prostitute	79	0	2	12	0	8	0	2	0	4
prostitute	320	6	15	13	12	11	13	9	8	9
prostitute	1086	30	24	32	28	27	36	34	54	39
prostitute	475	18	8	7	11	17	19	20	19	29
prostitute	15	1	0	1	4	0	2	0	1	1
prostitute	11080	350	406	384	410	400	452	514	401	376
prostitute	7426	256	262	319	266	280	270	390	241	392
prostitute	2336	72	94	72	105	87	82	103	70	78
prostitute	169	0	3	8	4	9	4	3	8	7
prostitute	32696	1098	962	1163	1462	1389	1214	1475	1194	990
prostitute	1370	39	44	35	53	62	51	71	36	43
prostitute	143	17	12	9	2	1	4	11	2	7
prostitute	11	0	0	0	0	1	0	3	0	3
prostitute	10233	331	322	302	359	382	353	479	343	367
prostitute	30	3	0	1	0	0	3	1	1	0
prostitute	64	3	1	1	4	3	2	6	3	1
prostitute	10	0	0	1	0	4	0	0	0	1
prostitute	268	3	10	5	4	4	2	1	3	3
prostitute	10	1	0	0	1	0	0	0	0	0
prostitute	2462	59	83	73	97	76	95	108	98	56
prostitute	27188	822	989	789	1025	1032	1104	1189	874	849
prostitute	18	0	7	0	1	2	0	0	0	0
prostitute	85329	2679	3021	3215	3424	3502	3493	3534	3401	2688
prostitute	8086	262	280	279	352	359	365	445	330	275
prostitute	36812	1301	1354	1330	1662	1622	1529	2051	1452	1196
prostitute	835	50	23	32	39	23	31	72	23	18
prostitute	3919	149	151	132	157	132	153	179	129	128
prostitute	47222	1563	1713	1533	1987	1774	1658	2594	1555	1292
prostitute	13521	445	433	420	507	489	494	644	407	361
prostitute	10	0	0	0	0	2	0	0	3	0
prostitute	154325	4736	5124	4800	5700	5896	5470	6568	5072	4472
prostitute	323	3	8	24	10	13	9	13	21	24
protestors	14	0	0	0	0	0	0	0	0	2
protestors	215	5	7	5	6	10	11	5	13	5
protestors	158	1	12	6	2	7	4	1	11	3
protestors	43	0	2	3	0	5	2	2	1	7
protestors	479	27	24	29	35	38	14	23	36	41
protestors	61	0	11	0	1	3	2	4	0	2
protestors	130	1	8	9	4	5	9	3	7	8
protestors	46	0	1	0	6	2	2	1	6	4
protestors	138	4	2	4	4	10	3	14	8	6
protestors	1607	31	54	72	89	91	112	114	107	106
protestors	212	6	5	10	13	28	11	9	13	16
protestors	1796	72	107	100	130	123	120	147	169	102
protestors	64	1	6	2	3	2	2	6	3	6
protestors	342	16	14	19	38	26	26	33	42	23
protestors	6756	222	339	359	455	453	456	534	621	507
protestors	605	20	26	29	18	37	37	36	53	37
protestors	6681	213	278	350	464	501	523	528	608	443
psychiatrist	119	0	2	1	2	3	8	3	5	5
psychiatrist	30	0	0	0	2	0	0	0	3	0
psychiatrist	56	2	2	4	0	0	3	0	0	1
psychiatrist	383	9	11	9	16	8	3	20	9	10
psychiatrist	2892	89	53	97	79	94	86	71	76	58
psychiatrist	157	6	1	5	7	12	10	13	8	0
psychiatrist	27	0	0	0	3	0	2	2	0	0
psychiatrist	35166	873	885	1053	1075	1236	1154	1185	1107	891
psychiatrist	10489	259	235	287	375	370	331	258	265	194
psychiatrist	2371	70	64	70	81	80	99	60	64	45
psychiatrist	11	0	0	0	1	0	0	0	1	0
psychiatrist	48419	1863	1972	1978	2191	2248	2333	2163	1924	1638
psychiatrist	2271	58	51	45	182	72	95	70	66	41
psychiatrist	152	10	2	4	5	5	1	4	5	6
psychiatrist	4248	103	102	90	144	95	116	104	100	96
psychiatrist	67	0	4	4	2	0	5	5	4	6
psychiatrist	23	0	2	1	0	2	4	0	0	0
psychiatrist	38	0	0	0	0	0	2	0	0	0
psychiatrist	33	0	1	1	1	0	0	2	0	3
psychiatrist	11	4	4	0	0	0	0	1	0	0
psychiatrist	127	3	3	7	1	3	1	0	3	1
psychiatrist	2416	55	76	58	82	88	77	46	62	54
psychiatrist	3457	60	79	91	91	98	87	101	71	61
psychiatrist	84210	2160	2089	2315	2448	2636	2582	2348	2334	1761
psychiatrist	4485	97	114	113	135	151	157	122	128	69
psychiatrist	10614	278	269	322	327	298	296	308	299	241
psychiatrist	495	12	13	9	17	15	11	13	10	15
psychiatrist	2390	94	100	102	98	84	84	107	86	63
psychiatrist	87289	2194	2342	2371	2983	3100	2635	2393	2716	2118
psychiatrist	9215	241	310	257	288	308	250	237	288	235
psychiatrist	82625	2097	1861	2239	2332	2523	2033	2270	2302	1539
psychiatrist	89	7	1	4	3	0	8	0	2	0
clinical psychologist	62	2	4	1	0	4	0	2	0	0
clinical psychologist	640	47	22	18	19	34	20	30	19	24
clinical psychologist	19	0	1	0	0	3	0	0	0	2
clinical psychologist	3122	69	81	105	104	117	100	95	74	52
clinical psychologist	263	16	5	10	7	24	6	8	14	12
clinical psychologist	254	15	12	6	3	6	16	11	7	6
clinical psychologist	167	2	3	1	8	9	12	13	4	1
clinical psychologist	18	0	3	0	2	0	2	0	0	0
clinical psychologist	402	16	12	15	7	12	4	16	8	10
clinical psychologist	13	0	0	0	1	0	1	0	2	2
counseling psychologist	10	0	0	0	0	1	0	0	1	2
counseling psychologist	91	0	6	6	0	1	3	0	0	2
counseling psychologist	159	4	0	7	5	3	4	0	2	1
counseling psychologist	10	0	0	1	0	1	0	0	0	0
counseling psychologist	21	0	2	1	3	4	0	0	0	0
counseling psychologist	36	1	0	0	1	0	0	2	1	1
counseling psychologist	11	2	0	0	0	0	0	0	0	0
educational psychologist	160	17	0	4	4	4	5	9	2	5
educational psychologist	674	37	16	37	30	25	33	24	23	14
educational psychologist	92	3	1	1	34	3	2	2	6	4
educational psychologist	66	8	0	2	4	3	1	1	0	1
educational psychologist	55	2	0	0	4	1	4	2	2	3
educational psychologist	123	2	1	2	5	9	5	5	2	1
forensic psychologist	10	0	0	0	0	0	4	0	4	1
forensic psychologist	22	0	1	3	1	4	3	3	2	1
forensic psychologist	40	2	1	1	4	7	2	5	4	7
forensic psychologist	32	0	1	3	2	2	4	2	2	4
forensic psychologist	28	1	0	1	4	2	2	3	3	4
clinical psychologist	19	0	0	2	0	4	0	0	0	0
clinical psychologist	30	1	3	3	0	2	1	1	3	0
clinical psychologist	312	8	4	1	7	12	8	5	9	10
clinical psychologist	544	16	31	26	18	28	12	13	12	15
clinical psychologist	9074	228	238	248	222	260	250	205	198	126
clinical psychologist	264	11	11	7	11	12	4	14	3	9
clinical psychologist	1879	39	71	58	60	74	38	49	37	28
clinical psychologist	48	1	2	1	0	1	0	2	1	0
clinical psychologist	10316	231	327	336	342	482	336	339	361	224
clinical psychologist	1582	49	50	50	37	61	54	38	54	43
clinical psychologist	12979	328	284	333	400	438	388	319	368	212
clinical psychologist	21	0	0	1	0	0	0	0	0	0
clinical psychologist	16	0	0	0	0	1	0	0	0	0
clinical psychologist	27	0	0	1	0	2	0	2	1	6
counseling psychologist	26	9	0	0	0	0	0	4	1	3
counseling psychologist	189	7	3	9	13	3	4	10	2	2
counseling psychologist	18	0	0	0	2	1	0	1	0	0
counseling psychologist	38	1	0	0	2	1	1	0	2	0
counseling psychologist	19	0	4	0	1	0	0	1	0	0
counseling psychologist	383	24	10	13	9	22	13	33	4	13
counseling psychologist	103	11	0	2	3	1	0	2	1	3
counseling psychologist	1130	103	35	21	68	39	15	89	33	36
counseling psychologist	186	12	7	4	7	1	2	9	3	6
counseling psychologist	1398	152	37	16	33	22	34	58	18	43
counseling psychologist	21	2	3	0	0	4	1	5	1	0
counseling psychologist	353	35	12	8	25	7	4	39	5	17
counseling psychologist	10	0	0	0	0	0	0	0	0	0
educational psychologist	162	11	6	6	3	6	10	14	2	3
educational psychologist	130	2	0	1	3	2	4	9	4	1
educational psychologist	2567	135	92	115	98	100	84	89	101	63
educational psychologist	57	1	1	0	3	0	1	0	7	2
educational psychologist	405	63	8	7	15	6	19	8	19	16
educational psychologist	4526	250	113	86	145	96	116	242	136	250
educational psychologist	462	13	11	9	12	19	9	31	18	14
educational psychologist	4001	180	105	68	127	95	108	177	98	131
educational psychologist	63	2	0	0	1	5	1	0	4	0
educational psychologist	29	0	2	0	5	0	3	1	0	0
forensic psychologist	14	0	1	0	1	0	1	4	3	2
forensic psychologist	19	1	3	1	3	1	0	0	0	2
forensic psychologist	155	10	2	5	27	9	23	20	9	12
forensic psychologist	114	5	1	4	27	4	8	17	7	21
forensic psychologist	1861	34	74	191	208	122	132	192	158	200
forensic psychologist	317	9	11	29	59	20	33	29	25	48
forensic psychologist	1290	35	45	87	166	112	123	172	125	143
publisher	12	0	0	2	1	7	0	0	0	0
publisher	12	2	1	0	0	0	0	0	0	0
publisher	1722	7	17	5	13	8	12	30	23	22
publisher	583	6	21	9	10	17	10	8	11	8
publisher	345	9	4	7	8	8	10	6	2	7
publisher	1970	31	51	28	87	53	33	48	26	56
publisher	56116	820	602	850	1706	1087	911	1066	642	903
publisher	3406	96	97	70	73	86	62	64	69	60
publisher	24	0	0	1	0	2	1	0	1	1
publisher	220799	5463	6065	6777	6978	7525	6998	7230	6857	6596
publisher	61335	1186	1365	1528	2463	1970	1753	2024	1661	1828
publisher	4535	135	119	132	153	173	140	121	144	148
publisher	107	5	5	4	2	3	4	6	1	1
publisher	115200	4107	4090	5252	6103	5613	5396	5445	5209	4201
publisher	13976	408	475	719	719	554	429	539	585	552
publisher	670	9	18	16	13	20	16	50	29	35
publisher	14	0	0	0	0	2	0	0	0	0
publisher	40	0	0	5	4	1	0	0	0	0
publisher	41401	841	805	906	987	942	1631	2125	1521	1647
publisher	271	0	4	6	13	9	8	10	7	5
publisher	331	9	7	7	9	10	8	9	10	3
publisher	27	1	2	0	3	1	5	2	1	0
publisher	25	0	1	7	0	0	0	0	0	1
publisher	1309	7	17	20	34	22	20	28	29	14
publisher	40550	274	134	186	297	255	270	274	491	639
publisher	3049	54	66	76	72	65	51	60	61	91
publisher	24	0	0	2	2	0	1	1	1	4
publisher	21	0	0	1	1	0	0	0	0	0
publisher	184117	4631	4336	4968	5656	5917	5533	5799	5646	5384
publisher	40905	1261	832	883	1032	957	860	1133	1087	713
publisher	21208	687	611	639	851	738	712	776	784	623
publisher	1398	61	57	54	53	53	65	68	62	34
publisher	28485	677	722	929	1033	1028	1060	956	1023	739
publisher	127028	4232	4000	4674	6010	5208	5125	5438	4680	4460
publisher	8665	218	202	202	300	282	220	292	264	227
publisher	15	0	0	1	0	0	1	0	1	0
publisher	127788	3016	3329	3514	4272	4021	3925	4538	4601	10668
publisher	17	0	1	0	0	0	0	0	0	0
publisher	63	1	0	2	0	4	2	0	5	1
forest ranger	18	0	0	1	0	0	0	0	0	0
forest ranger	10	0	0	0	0	0	1	0	0	2
forest ranger	13	0	0	1	0	1	0	0	0	0
forest ranger	115	1	2	2	2	2	4	0	4	7
forest ranger	423	9	7	13	15	4	7	9	14	3
forest ranger	42	1	1	0	1	0	1	5	2	0
forest ranger	35	0	1	1	1	8	1	1	0	2
forest ranger	30	0	1	0	0	1	0	0	3	0
forest ranger	202	6	5	9	6	3	6	5	4	1
forest ranger	39	0	1	0	1	3	0	4	2	3
forest ranger	30	0	0	3	0	1	0	0	1	1
forest ranger	19	0	0	0	0	0	0	2	0	0
forest ranger	64	3	2	2	0	0	3	4	2	2
forest ranger	36	0	0	3	2	2	0	1	0	2
forest ranger	1305	32	21	36	43	40	43	45	37	36
forest ranger	54	1	4	0	0	0	1	0	3	0
forest ranger	203	10	5	8	15	4	11	4	2	4
forest ranger	878	20	20	35	18	34	52	36	34	40
forest ranger	154	3	0	5	4	2	8	2	4	3
forest ranger	1146	33	23	34	29	26	27	27	32	39
rapist	13	0	0	0	1	0	0	0	0	2
rapist	73	2	2	3	6	1	8	5	3	2
rapist	162	11	5	10	6	14	10	7	13	11
rapist	87	2	4	3	4	9	4	13	6	2
rapist	16	1	2	0	4	0	1	0	0	0
rapist	3802	164	187	155	225	179	230	220	222	189
rapist	1293	57	48	49	76	70	99	63	82	59
rapist	482	9	34	23	23	45	42	28	34	14
rapist	5349	247	223	264	258	275	254	294	349	273
rapist	389	13	17	19	9	13	32	17	13	47
rapist	37	2	1	5	1	1	4	0	0	4
rapist	1912	67	111	102	79	77	45	75	40	138
rapist	20	1	0	0	2	4	1	0	0	0
rapist	387	14	10	15	20	12	29	21	24	18
rapist	2148	113	90	100	95	81	101	90	95	71
rapist	14750	559	628	743	802	838	844	882	867	700
rapist	767	31	30	34	34	38	33	26	34	46
rapist	2999	96	100	122	94	131	127	131	142	103
rapist	62	3	4	3	6	1	5	3	0	5
rapist	485	19	31	36	17	16	31	31	25	23
rapist	8616	324	346	364	339	340	284	324	315	371
rapist	1754	74	71	50	77	72	81	64	69	52
rapist	14108	539	570	555	492	594	500	464	461	524
rapist	26	2	2	1	1	1	5	0	4	2
news reader	108	2	3	4	20	4	4	0	7	4
news reader	13	0	0	1	1	0	1	0	1	1
news reader	11	1	0	0	0	2	1	0	2	0
news reader	25	1	3	3	0	1	2	0	0	2
news reader	39	0	0	3	1	1	5	0	0	1
palm reader	11	1	0	3	0	1	0	0	0	1
palm reader	115	3	3	7	18	11	3	1	2	4
palm reader	21	1	1	0	5	7	0	1	1	2
tarot card reader	12	0	2	2	2	1	1	0	2	1
tarot card reader	11	0	3	1	0	1	1	1	1	1
news reader	24	2	0	1	2	0	0	0	4	1
news reader	236	15	8	8	11	10	11	12	6	7
news reader	27	0	1	2	4	3	0	7	0	1
news reader	56	5	5	4	5	7	3	1	1	1
news reader	155	4	4	10	14	15	5	12	10	5
news reader	28	3	1	0	2	0	0	4	2	0
news reader	245	13	9	10	15	9	12	14	6	4
news reader	20	0	2	1	1	1	1	0	0	0
news reader	40	0	0	0	0	5	1	1	1	3
news reader	73	0	0	0	1	9	0	1	0	1
news reader	104	3	6	6	1	9	4	1	3	2
palm reader	40	2	0	1	3	4	4	4	9	3
palm reader	24	0	1	0	1	0	2	2	5	1
palm reader	20	0	0	1	2	2	0	0	1	0
palm reader	21	0	1	1	1	0	7	4	2	1
palm reader	705	27	34	48	48	53	51	47	63	34
palm reader	20	0	5	1	1	1	1	1	0	0
palm reader	27	0	5	0	3	0	3	5	1	3
palm reader	70	2	2	5	10	1	1	2	5	2
palm reader	79	2	5	9	1	2	4	9	6	1
tarot card reader	103	2	13	3	4	10	11	7	15	6
tarot card reader	19	0	3	0	0	0	1	0	0	0
tarot card reader	14	0	0	0	1	2	1	1	1	1
tarot card reader	77	1	6	2	16	4	10	6	6	6
tarot card reader	28	0	1	2	0	2	3	3	6	3
receptionist	29	2	0	3	1	1	0	0	0	0
receptionist	16	0	0	0	0	2	1	3	0	1
receptionist	134	6	1	7	6	9	7	4	12	5
receptionist	448	9	20	20	24	19	13	9	25	19
receptionist	155	5	3	7	9	1	8	13	9	4
receptionist	6196	209	215	240	253	281	260	241	287	161
receptionist	2562	98	110	117	120	149	108	151	119	86
receptionist	401	15	13	28	17	21	24	19	26	31
receptionist	2910	128	99	148	180	194	209	193	169	179
receptionist	403	6	25	14	17	27	26	22	24	17
receptionist	13	1	1	0	1	0	0	0	1	0
receptionist	2586	73	82	86	132	103	94	106	89	54
receptionist	11	0	0	0	1	0	1	0	1	1
receptionist	10	0	3	4	2	0	0	0	0	0
receptionist	46	0	1	1	1	4	3	2	0	0
receptionist	218	2	13	14	6	11	14	5	8	2
receptionist	102	6	3	4	5	2	2	4	9	4
receptionist	6823	300	214	344	327	336	281	297	236	203
receptionist	303	9	13	9	13	10	15	12	18	7
receptionist	430	17	19	23	21	21	20	24	28	17
receptionist	13	0	0	1	0	0	1	1	5	3
receptionist	252	6	12	22	11	4	13	13	18	8
receptionist	1824	71	88	108	78	100	109	91	88	45
receptionist	332	6	18	17	17	12	13	18	9	7
receptionist	2057	59	69	123	67	88	86	89	83	71
court reporter	23	1	0	0	1	1	5	0	1	2
court reporter	127	1	6	7	0	7	3	2	2	3
court reporter	58	4	0	0	0	1	0	4	1	0
court reporter	714	31	29	31	33	33	41	39	37	21
court reporter	62	5	6	5	6	4	0	0	1	0
court reporter	57	4	0	0	1	1	3	3	0	4
court reporter	73	6	2	2	1	2	3	4	3	3
court reporter	456	10	10	9	10	9	12	13	10	19
court reporter	14	0	0	0	0	2	0	0	2	0
court reporter	16	0	0	0	0	0	2	0	0	0
court reporter	18	1	0	0	1	0	0	0	0	0
reporter	350	5	2	10	8	24	8	5	5	25
reporter	129	0	0	4	1	1	3	3	2	9
reporter	180	5	2	4	6	4	0	8	7	2
reporter	570	34	16	19	16	38	26	15	30	31
reporter	6588	88	92	92	96	140	103	109	154	574
reporter	764	14	10	16	16	18	16	15	13	29
reporter	48	1	0	3	5	1	4	5	0	1
reporter	19780	539	484	592	661	795	732	750	751	951
reporter	22107	661	544	731	704	854	778	865	808	917
reporter	4086	107	99	112	149	160	241	199	202	169
reporter	57	0	6	1	3	0	5	7	4	2
reporter	176538	8444	9120	10317	10850	12936	11891	13065	11648	8547
reporter	6466	181	202	270	256	325	292	279	240	171
reporter	390	9	14	14	20	7	9	12	12	5
reporter	28	3	4	1	0	3	2	0	2	2
reporter	21	1	3	0	0	0	4	1	1	3
reporter	12488	306	267	328	348	444	353	355	455	432
reporter	124	2	3	5	1	5	3	5	7	4
reporter	198	3	0	3	5	4	7	4	3	4
court reporter	25	0	3	1	0	1	3	2	0	5
court reporter	25	0	0	0	0	3	0	2	0	0
court reporter	38	1	1	0	3	0	0	0	0	5
court reporter	28	0	0	1	2	0	0	0	0	1
court reporter	984	20	29	35	40	57	66	32	43	41
court reporter	35	3	1	4	0	0	2	0	0	6
court reporter	243	4	16	9	7	11	70	12	16	9
court reporter	914	24	58	40	29	42	59	38	62	31
court reporter	163	2	8	3	6	4	14	7	5	3
court reporter	1060	28	59	47	34	50	45	35	42	44
court reporter	11	0	0	2	0	4	0	0	1	1
court reporter	17	0	0	1	3	0	1	0	2	0
court reporter	41	0	1	0	1	0	4	0	0	1
reporter	22	0	0	0	0	0	4	0	0	0
reporter	184	0	4	0	5	5	0	3	4	10
reporter	1376	32	28	24	27	56	52	46	45	28
reporter	4876	140	156	135	203	166	195	225	193	199
reporter	22	0	0	0	0	0	0	2	1	0
reporter	66882	2206	2106	2369	2861	2891	2822	2739	2892	2385
reporter	7827	256	237	277	347	372	353	383	314	290
reporter	115669	4237	4525	4555	5676	6173	5874	5736	5464	4144
reporter	4796	181	178	207	259	201	222	211	219	151
reporter	10149	390	402	389	492	519	499	510	495	460
reporter	181105	7139	6826	7229	8997	9175	8906	8552	8736	6675
reporter	17324	600	577	563	721	705	785	681	739	584
reporter	159913	5711	5276	5864	7173	7312	7002	7165	7281	6214
reporter	55	0	2	2	4	4	3	3	2	0
rescue worker	41	4	0	5	7	6	3	2	2	2
horse rider	102	4	3	6	3	8	17	10	3	16
horse rider	61	8	3	3	9	4	3	3	6	2
horse rider	18	0	0	0	0	0	0	3	1	0
horse rider	31	1	1	0	1	3	0	7	0	1
horse rider	19	3	1	0	0	1	0	0	1	0
horse rider	24	2	1	0	0	0	3	0	2	4
horse rider	16	0	3	0	0	0	1	1	0	0
horse rider	13	5	0	0	0	1	2	0	0	2
horse rider	29	3	2	2	0	2	2	1	4	3
horse rider	762	57	39	45	41	63	55	59	39	57
horse rider	29	0	3	0	3	1	0	3	1	2
horse rider	100	8	4	8	10	6	4	6	4	2
horse rider	207	22	3	9	9	12	8	25	12	9
horse rider	25	2	0	1	0	2	2	3	0	2
horse rider	546	44	22	27	29	39	39	27	31	22
roadies	19	0	2	1	1	2	2	0	5	1
roadies	78	6	17	3	4	5	3	4	10	3
roadies	11	0	0	0	0	2	7	0	0	0
roadies	20	1	0	2	0	0	0	0	1	0
roadies	22	0	0	0	2	4	4	0	2	0
roadies	25	3	1	3	1	4	0	0	0	2
roadies	417	31	20	28	22	34	30	36	46	21
roadies	40	4	3	2	1	3	6	3	3	1
roadies	88	5	7	11	7	7	8	7	6	8
roadies	32	3	5	2	2	3	1	3	5	0
roadies	244	18	4	27	15	32	11	19	29	12
roadies	18	2	3	2	3	2	0	2	2	2
roadies	287	20	22	19	21	27	30	13	30	18
roofer	49	0	0	1	5	0	2	3	2	0
roofer	82	0	4	1	2	1	3	1	1	0
roofer	653	11	26	27	19	41	32	26	29	17
roofer	203	2	6	8	16	4	14	7	7	13
roofer	15	0	0	0	2	1	0	0	2	0
