ID	HEADING	CLEANED	LANGUAGE	LCC	TYPE	YEAR_ADDED	YEAR_REVISED	BT	NT	SYNONYMS	YEAR_DEPRECATED	FORMER_HEADINGS	DELETION_NOTE	GENDER	GENDER_WORD
sh2010013122	_Piano instruction for older people	piano instruction for older people	en	None	Topic	2010	None	None	None	None	2010-09-16T13:19:06	None	This authority record has been deleted because it was mistakenly distributed.		
sh2010013538	_Christian authors	christian authors	en	None	Topic	2010	None	None	None	None	2010-11-02T13:34:05	None	This subdivision authority record has been deleted because it is covered by an identical subdivision record (sh 99005021).		
sh2010014072	_Isaac Newton Telescope	isaac newton telescope	en	None	Topic	2010	None	None	None	None	2016-11-09T15:32:02	None	This authority record has been deleted because the subject heading is covered by an identical name heading (DLC)n 2016046731		
sh2010014278	_College student parents	college student parents	en	None	Topic	2010	None	None	None	None	2022-08-05T09:03:42	None	This authority record has been deleted because the heading is covered by the subject headings {College students as parents} (DLC)sh2022002078 and {Parents of college students} (DLC)sh2022006041		
sh2010014351	_Strong Vocational Interest Blank	strong vocational interest blank	en	None	Topic	2010	None	None	None	None	2011-02-02T15:45:12	None	{This authority record has been deleted because the heading is covered by an identical subject heading (sh 94008226).}		
sh2010015081	_Crushes (Interpersonal relations)	crushes ( interpersonal relations )	en	None	Topic	2010	None	None	None	None	2012-07-26T08:45:20	None	This authority redcord has been deleted because it is covered by the subject heading {Infatuation} sh2010013193.		
sh2011000897	_Children of illegal aliens	children of illegal aliens	en	None	Topic	2011	None	None	None	None	2021-11-23T14:39:02	None	This authority record has been deleted because the heading is covered by the subject headings {Children of noncitizens} (DLC)sh2016000741 and {Illegal immigration} (DLC)sh2016000739		
sh2011001659	_Hispanic American HIV-positive women	hispanic american hiv positive women	en	None	Topic	2012	None	None	None	None	2012-04-10T11:06:53	None	This authority record has been deleted because the heading is covered by the subject heading {HIV-positive women--United States} (sh2005008292).	W	women
sh2011001689	_Internet games industry	internet games industry	en	None	Topic	2011	None	None	None	None	2023-01-23T12:01:15	None	This authority record has been deleted because the heading is covered by the subject heading {Video games industry} (DLC)sh2006005259		
sh2011002021	_BAC Canberra (Reconnaissance aircraft)	bac canberra ( reconnaissance aircraft )	en	None	Topic	2011	None	None	None	None	2011-12-01T13:34:03	None	This authority record has been deleted because the heading is covered by the subject heading {Canberra (Military aircraft)} (sh 85019484).		
sh2011002777	_Architects, Armenian	armenian architects	en	None	Topic	2011	None	None	None	None	2011-12-01T13:34:32	None	This authority record has been deleted because the heading is replaced by headings of the type Architects--[place] for which individual subject authority records are not made.		
sh2011002779	_Architects, Greek	greek architects	en	None	Topic	2011	None	None	None	None	2011-12-01T13:34:56	None	This authority record has been deleted because the heading is replaced by headings of the type Architects--[place] for which individual subject authority records are not made.		
sh2011005677	_Operation Jump Start, 2006-2008	2006 2008 operation jump start	en	None	Topic	2011	None	None	None	None	2023-05-12T15:17:40	None	None		
sh2011006057	_Whetstones	whetstones	en	None	Topic	2012	None	None	None	None	2012-03-14T13:09:34	None	This authority record has been deleted because it was inadvertently distributed due to a technical error. The proposal will go through the editorial process on a future tentative monthly list.		
sh2012000146	_Children of sperm donors	children of sperm donors	en	None	Topic	2012	None	None	None	None	2023-07-05T15:07:27	None	This authority record has been deleted because the heading is covered by the subject heading {Donor conceived people} (DLC)sh2022007746		
sh2012000374	_Albinos and albinism in literature	albinos and albinism in literature	en	None	Topic	2012	None	None	None	None	2023-02-22T15:58:21	None	This authority record has been deleted because the heading is covered by the subject headings {People with albinism in literature} and {Albinism in literature}		
sh2012000752	_Investments, Indic	indic investments	en	None	Topic	2012	None	None	None	None	2020-06-17T13:42:46	None	This authority record has been deleted because the heading is covered the subject heading Investments, East Indian (DLC)sh 85067734		
sh2012001032	_Group of Seven (Group of artists)	group of seven ( group of artists )	en	None	Topic	2012	None	None	None	None	2012-07-30T13:47:15	None	This authority record has been deleted because the subject heading is covered by an identical name heading (n 80152858).		
sh2012001733	_PhoneGap (Application development environment)	phonegap ( application development environment )	en	None	Topic	2012	None	None	None	None	2017-12-14T12:45:24	None	This authority record has been deleted because the subject heading is covered by an identical name heading (DLC)n 2017050091		
sh2012002924	_Rufāʻah (African people)	rufāʻah people	en	None	Topic	2012	None	None	None	None	2013-01-24T13:33:04	None	This authority record has been deleted because the heading is covered by the subject heading {Rufaʾa al-Hoi (African people)} (sh 85115724).		
sh2012004541	_Bob (Cat)	bob ( cat )	en	None	Topic	2012	None	None	None	None	2016-08-11T17:28:56	None	This authority record has been deleted because the subject heading is covered by an identical name heading (DLC)nb2016009262		
